Date,Store listing visitors: All traffic sources,Store listing acquisitions: All traffic sources,Store listing conversion rate: All traffic sources,Store listing conversion rate: Peers' median (All traffic sources),Store listing conversion rate: 25th percentile (All traffic sources),Store listing conversion rate: 75th percentile (All traffic sources),Notes
27 Jun 2022,44,7,15.91%,20.38%,12.62%,30.2%,
28 Jun 2022,48,8,16.67%,20.31%,12.61%,29.82%,
29 Jun 2022,30,10,33.33%,20.34%,12.57%,29.88%,
30 Jun 2022,40,9,22.5%,20.27%,12.61%,29.96%,
1 Jul 2022,46,8,17.39%,20%,12.52%,29.78%,
2 Jul 2022,53,17,32.08%,20%,12.5%,29.75%,Roll-out of release: Started roll-out of 202207021 (1.1.0) at 100%.
3 Jul 2022,51,14,27.45%,20.36%,12.77%,29.88%,
4 Jul 2022,40,8,20%,20.21%,12.49%,29.82%,
5 Jul 2022,33,7,21.21%,20.45%,12.77%,30.09%,
6 Jul 2022,50,8,16%,20.5%,12.69%,30.11%,
7 Jul 2022,55,24,43.64%,20.26%,12.6%,29.93%,
8 Jul 2022,57,21,36.84%,20.23%,12.57%,29.68%,
9 Jul 2022,52,16,30.77%,20%,12.42%,29.64%,
10 Jul 2022,49,16,32.65%,20.2%,12.61%,29.69%,
11 Jul 2022,50,13,26%,20.05%,12.57%,29.65%,
12 Jul 2022,87,26,29.89%,20.07%,12.66%,29.56%,
13 Jul 2022,63,14,22.22%,20%,12.48%,29.52%,
14 Jul 2022,94,26,27.66%,20.16%,12.5%,29.6%,
15 Jul 2022,97,20,20.62%,19.79%,12.32%,29.35%,
16 Jul 2022,128,26,20.31%,19.73%,12.46%,29.36%,
17 Jul 2022,106,36,33.96%,20%,12.56%,29.64%,
18 Jul 2022,80,22,27.5%,20.2%,12.51%,29.78%,
19 Jul 2022,82,24,29.27%,20.19%,12.45%,29.73%,
20 Jul 2022,111,31,27.93%,20.14%,12.52%,29.94%,
